day,freight,frTime,frComplete,bins,binTime,binComplete,picks,pickTime,pickComplete,downstock,dTime,dComplete,pchange,pcTime,pcComplete,swork,swTime,swComplete,dailyTime,dailyCPer,aTask,aTime,fTask,fTime,miscTime,oTask,oTime,deptTime,totTime,deptRate,outRate,mood
2/28/2020,1,33,1,2,0,1,0,131,1,2,0,1,1,28,1,1,0,0,192,0.833333333,1,51,1,60,111,1,81,303,384,0.7890625,0.2109375,3
3/1/2020,0,0,1,2,0,1,1,165,1,2,0,1,1,19,1,1,12,1,196,1,0,0,1,98,98,1,129,294,423,0.695035461,0.304964539,5
3/2/2020,0,0,1,2,0,1,0,110,1,2,0,1,1,6,1,0,0,1,116,1,1,29,1,111,140,1,195,256,451,0.567627494,0.432372506,3
3/3/2020,0,0,1,2,0,1,2,0,1,2,0,1,1,0,0,1,0,0,0,0.666666667,0,0,0,0,0,1,455,0,455,0,1,2
3/4/2020,0,0,1,2,0,1,0,53,1,2,0,1,1,29,1,1,7,1,89,1,1,36,1,129,165,1,159,254,413,0.615012107,0.384987893,3
3/6/2020,1,42,1,2,0,1,0,58,1,2,0,1,1,22,1,0,0,1,122,1,0,0,1,202,202,1,50,324,374,0.86631016,0.13368984,6
3/10/2020,0,0,1,2,0,1,2,0,1,2,0,1,1,18,1,1,0,0,18,0.833333333,1,41,0,0,41,1,358,59,417,0.141486811,0.858513189,2
3/11/2020,1,27,1,2,0,1,2,0,1,0,126,1,1,0,0,0,0,1,153,0.833333333,0,0,0,0,0,1,308,153,461,0.331887202,0.668112798,2
3/12/2020,0,0,1,2,0,1,2,0,1,1,43,1,1,0,0,0,0,1,43,0.833333333,1,81,0,0,81,1,328,124,452,0.274336283,0.725663717,2
3/13/2020,0,0,1,2,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0,0,0,1,480,0,480,0,1,2
3/23/2020,0,0,1,2,0,1,2,0,1,2,0,1,1,0,0,1,0,0,0,0.666666667,1,468,0,0,468,1,30,468,498,0.939759036,0.060240964,4
3/24/2020,1,135,1,2,0,1,2,0,1,2,0,1,1,0,0,0,0,1,135,0.833333333,0,0,1,229,229,1,98,364,462,0.787878788,0.212121212,4
3/25/2020,0,0,1,2,0,1,2,0,1,0,63,1,0,0,1,0,0,1,63,1,0,0,1,305,305,1,13,368,381,0.965879265,0.034120735,5
3/27/2020,1,49,1,2,0,1,2,0,1,2,0,1,1,57,1,0,0,1,106,1,0,0,1,120,120,1,225,226,451,0.501108647,0.498891353,4
3/30/2020,0,0,1,0,53,1,0,120,1,2,0,1,0,0,1,0,0,1,173,1,0,0,1,280,280,0,0,453,453,1,0,3
3/31/2020,0,0,1,2,0,1,0,102,1,2,0,1,1,0,0,0,0,1,102,0.833333333,0,0,1,88,88,1,329,190,519,0.366088632,0.633911368,4
4/1/2020,1,180,1,2,0,1,2,0,1,2,0,1,1,0,0,0,0,1,180,0.833333333,0,0,0,0,0,1,300,180,480,0.375,0.625,3
4/3/2020,0,0,1,2,0,1,0,70,1,0,65,1,1,0,0,0,0,1,135,0.833333333,0,0,0,0,0,1,333,135,468,0.288461538,0.711538462,3
4/7/2020,0,0,1,0,166,1,0,0,0,2,0,1,1,0,0,0,0,1,166,0.666666667,0,0,0,0,0,1,311,166,477,0.348008386,0.651991614,2
4/13/2020,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0.5,1,480,0,0,480,0,0,480,480,1,0,3
4/14/2020,0,0,1,2,0,1,0,120,1,2,0,1,0,0,1,0,0,1,120,1,0,0,1,180,180,1,180,300,480,0.625,0.375,3
4/15/2020,1,60,1,2,0,1,0,79,1,0,66,1,0,0,1,0,0,1,205,1,0,0,1,148,148,1,138,353,491,0.718940937,0.281059063,2
4/16/2020,0,0,1,2,0,1,2,0,1,2,0,1,0,0,1,0,0,1,0,1,0,0,1,258,258,1,203,258,461,0.559652928,0.440347072,4
4/17/2020,0,0,1,2,0,1,0,291,1,2,0,1,0,0,1,0,0,1,291,1,0,0,1,95,95,1,135,386,521,0.740882917,0.259117083,3
4/20/2020,0,0,1,2,0,1,0,120,1,0,50,1,1,0,1,0,0,1,170,1,0,0,1,320,320,1,35,490,525,0.933333333,0.066666667,5
4/21/2020,0,0,1,2,0,1,0,129,1,0,90,1,1,31,1,0,0,1,250,1,0,0,1,67,67,1,163,317,480,0.660416667,0.339583333,4
4/22/2020,1,66,1,2,0,1,0,155,1,0,59,1,0,0,1,0,0,1,280,1,0,0,1,175,175,1,60,455,515,0.883495146,0.116504854,5
4/23/2020,0,0,1,2,0,1,0,60,1,2,0,1,1,0,1,0,0,1,60,1,0,0,1,190,190,1,230,250,480,0.520833333,0.479166667,2
4/27/2020,0,0,1,2,0,1,0,160,1,0,110,1,1,0,1,0,0,1,270,1,0,0,1,210,210,1,60,480,540,0.888888889,0.111111111,4
4/29/2020,1,60,1,2,0,1,0,150,1,0,90,1,1,0,1,0,0,1,300,1,0,0,1,180,180,1,75,480,555,0.864864865,0.135135135,3
5/1/2020,0,0,1,0,90,1,0,150,1,2,0,1,1,0,1,0,0,1,240,1,0,0,1,86,86,1,210,326,536,0.608208955,0.391791045,3
5/4/2020,0,0,1,2,0,1,0,234,1,2,0,1,0,0,1,0,0,1,234,1,0,0,1,193,193,1,60,427,487,0.876796715,0.123203285,4
